>Variable	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
YBR166C	0.33	-0.17	0.04	-0.07	-0.09	-0.12	-0.03	-0.2	-0.06	-0.06
YOR357C	-0.64	-0.38	-0.32	-0.29	-0.22	-0.01	-0.32	-0.27	-0.51	-0.67
YLR292C	-0.23	0.19	-0.36	0.14	-0.4	0.16	-0.09	-0.12	-0.14	-0.14
YGL112C	-0.69	-0.89	-0.74	-0.56	-0.64	-0.18	-0.42	-0.34	-0.062365009	0.01
YIL118W	0.04	0.01	-0.81	-0.160239427	-0.3	0.49	0.08	0.19	-0.03	-0.32
YDL120W	0.11	0.32	0.03	0.32	0.03	-0.12	0.01	-0.36	-0.01	-0.17
YHL025W	-0.47	1	-0.51	-0.25	-0.71	-0.22	-0.3	-0.36	-0.1	0.08
YGL248W	-0.25	0.26	0.01	-0.06	-0.42	-0.07	-0.3	-0.18	-0.1	-0.27
YIL146C	-0.58	-0.29	-0.45	-0.15	-0.86	-0.36	-0.54	-0.47	-0.29	0.08
YJR106W	-0.36	-0.17	-0.22	-0.34	-0.36	0.03	-0.2	-0.42	-0.15	0.06
YNL272C	0.31	0.12	0.34	0.61	0.18	0.28	0.14	-0.094206251	-0.07	-0.01
YBR123C	-0.17	-0.32	-0.34	-0.42	-0.25	-0.3	0.19	0.26	0.1	-0.23
YCR040W	-0.29	0.31	-0.2	-0.04	-0.38	0.11	-0.2	-0.4	-0.12	0.42
YHR047C	-0.29	-0.07	-0.34	-0.34	-0.36	-0.43	-0.4	-0.25	-0.06	-0.23
YMR055C	-0.34	0.88	-0.42	-0.97	-0.15	-0.29	0.23	-0.3	-0.3	-0.22
YDR457W	0.01	-0.69	-0.09	-0.09	0.25	0.21	-0.18	-0.4	-0.07	-0.09
YKL201C	-0.29	-0.01	0.33	-0.066637298	0.24	0.48	0.21	-0.03	-0.1	-0.14
YDR311W	0.14	-0.23	-0.04	-0.07	0.28	-0.23	-0.32	-0.27	0.21	-0.14
YGR274C	0.06	-0.16076306	0.26	0.1	0.12	0.06	-0.03	0.19	0.23	-0.03
YHR178W	-0.54	0.36	-0.22	-0.42	0.08	-0.12	0.15	-0.17	0.2	-0.27
YKR093W	-0.38	-0.64	-0.64	-0.092442455	-0.69	-1.03	-0.64	-1.25	-0.84	-0.71
YPR113W	-0.27	-0.23	-0.62	-0.54	-0.64	-0.45	0.16	-0.17	0.03	-0.42
YPR149W	-2.84	-1.47	-0.94	-1.79	-1.47	-1.74	-0.2	-0.34	0.58	-0.01
YJL210W	-0.43	-0.42	-0.69	-0.4	-0.62	-0.3	-0.38	-0.74	-0.27	0.1
YDL006W	-0.32	0.33	-0.22	0.03	-0.34	0.26	-0.04	0.07	-0.23	0.26
YLR188W	-0.45	-0.34	-0.25	0.15	0.18	0.2	0.03	-0.36	0.04	0.31
YDL226C	-0.43	-0.12	-0.12	0.19	0.01	0.23	-0.4	0.08	0.16	0.15
YHR026W	-0.07	-0.34	-0.18	-0.03	-0.1	0.08	-0.032377781	0.01	0.08	-0.3
YJL121C	0.16	-0.04	0.01	0.12	0.08	0.26	0.19	0.29	0.24	-0.17
